#FEDEM	R7.2.1  6 jan 2017 11:53:51
#PARENT	D:\Src\ftKernel.git\solverTests\CamJoint\PearCamWithFriction.fmm
#FILE 	D:\Src\ftKernel.git\solverTests\CamJoint\SystemEnergy_R253.asc
#USER 	kmo
#DATE 	Wed Sep 19 08:52:44 2018
#
#DESCRIPTION	Checksum_ref	Friction_loss_ref	Input_ref	Loss_ref	Strain_ref
9.10000000e-02	3.67530441e-09	6.11288641e-13	4.27802776e-06	1.72954862e-09	2.51854907e-09
9.20000000e-02	3.75033783e-09	6.32342739e-13	4.37203502e-06	1.73731304e-09	2.58587867e-09
9.30000000e-02	3.82790920e-09	6.53945100e-13	4.46706409e-06	1.74525783e-09	2.65556117e-09
9.40000000e-02	3.90806610e-09	6.76000335e-13	4.56311499e-06	1.75338496e-09	2.72765081e-09
9.50000000e-02	3.99087241e-09	6.98402582e-13	4.66018771e-06	1.76169639e-09	2.80220249e-09
9.60000000e-02	4.07637965e-09	7.21273366e-13	4.75828224e-06	1.77019430e-09	2.87927170e-09
9.70000000e-02	4.16465150e-09	7.44737977e-13	4.85739859e-06	1.77888088e-09	2.95891454e-09
9.80000000e-02	4.25574246e-09	7.68689820e-13	4.95753676e-06	1.78775809e-09	3.04118776e-09
9.90000000e-02	4.34971520e-09	7.93137878e-13	5.05869674e-06	1.79682800e-09	3.12614871e-09
1.00000000e-01	4.44662715e-09	8.18091301e-13	5.16087855e-06	1.80609269e-09	3.21385537e-09
1.01000000e-01	4.54654121e-09	8.43559401e-13	5.26408217e-06	1.81555423e-09	3.30436629e-09
1.02000000e-01	4.64951674e-09	8.69551656e-13	5.36830761e-06	1.82521469e-09	3.39774071e-09
1.03000000e-01	4.75561734e-09	8.96077714e-13	5.47355487e-06	1.83507615e-09	3.49403845e-09
1.04000000e-01	4.86490416e-09	9.23147394e-13	5.57982395e-06	1.84514068e-09	3.59331996e-09
1.05000000e-01	4.97744148e-09	9.50770690e-13	5.68711484e-06	1.85541035e-09	3.69564631e-09
1.06000000e-01	5.09329220e-09	9.78957768e-13	5.79542756e-06	1.86588724e-09	3.80107922e-09
1.07000000e-01	5.21252143e-09	1.00771898e-12	5.90476209e-06	1.87657343e-09	3.90968094e-09
1.08000000e-01	5.33519366e-09	1.03690572e-12	6.01511844e-06	1.88747082e-09	4.02151443e-09
1.09000000e-01	5.46137437e-09	1.06668635e-12	6.12649660e-06	1.89858165e-09	4.13664321e-09
1.10000000e-01	5.59113047e-09	1.09723383e-12	6.23889659e-06	1.90990816e-09	4.25513147e-09
1.11000000e-01	5.72452885e-09	1.12839865e-12	6.35231839e-06	1.92145227e-09	4.37704399e-09
1.12000000e-01	5.86163632e-09	1.16019207e-12	6.46676201e-06	1.93321604e-09	4.50244616e-09
1.13000000e-01	6.00252163e-09	1.19262557e-12	6.58222745e-06	1.94520156e-09	4.63140401e-09
1.14000000e-01	6.14725324e-09	1.22552710e-12	6.69871471e-06	1.95741071e-09	4.76398417e-09
1.15000000e-01	6.29589987e-09	1.25909060e-12	6.81622378e-06	1.96984575e-09	4.90025392e-09
1.16000000e-01	6.44853284e-09	1.29332255e-12	6.93475468e-06	1.98250876e-09	5.04028112e-09
1.17000000e-01	6.60522147e-09	1.32824073e-12	7.05430739e-06	1.99540182e-09	5.18413429e-09
1.18000000e-01	6.76603804e-09	1.36385182e-12	7.17488192e-06	2.00852699e-09	5.33188253e-09
