#FEDEM	R7.2.2 16 feb 2018 12:26:37
#PARENT	D:\Src\ftKernel.git\solverTests\CamJoint\CamWithDamping.fmm
#FILE 	D:\Src\ftKernel.git\solverTests\CamJoint\CamWithDamping.asc
#USER 	kmo
#DATE 	Fri Sep 21 17:01:20 2018
#
#DESCRIPTION	Energy_check-sum	Energy_loss	Strain_energy	Kinetic_energy	Potential_energy	Cam_joint__1___Tx_spring__Force_value_vs_Time	Cam_joint__1___Tx_damper__Force_value_vs_Time
7.90000000e-01	1.82207527e+01	4.76017418e+01	0.00000000e+00	1.55225806e+03	-1.58163904e+03	0.00000000e+00	3.70050774e+01
8.00000000e-01	1.82204018e+01	4.77124901e+01	0.00000000e+00	1.58903162e+03	-1.61852368e+03	0.00000000e+00	2.95510616e+01
8.10000000e-01	1.82201176e+01	4.77793465e+01	0.00000000e+00	1.62683191e+03	-1.65639111e+03	0.00000000e+00	2.21618385e+01
8.20000000e-01	1.82198982e+01	4.78135719e+01	0.00000000e+00	1.66564258e+03	-1.69523621e+03	0.00000000e+00	1.48366575e+01
8.30000000e-01	1.82197437e+01	4.78261299e+01	0.00000000e+00	1.70544763e+03	-1.73505396e+03	0.00000000e+00	7.57477045e+00
8.40000000e-01	1.82196503e+01	4.78277092e+01	0.00000000e+00	1.74623132e+03	-1.77583936e+03	0.00000000e+00	3.75441670e-01
8.50000000e-01	1.82196159e+01	4.78287277e+01	0.00000000e+00	1.78797839e+03	-1.81758752e+03	0.00000000e+00	-6.76205873e+00
8.60000000e-01	1.82196426e+01	4.78393364e+01	0.00000000e+00	1.83067358e+03	-1.86029333e+03	0.00000000e+00	-1.38384523e+01
8.70000000e-01	1.82197247e+01	4.78694267e+01	0.00000000e+00	1.87430237e+03	-1.90395203e+03	0.00000000e+00	-2.08544540e+01
8.80000000e-01	1.82198639e+01	4.79286308e+01	0.00000000e+00	1.91885010e+03	-1.94855884e+03	0.00000000e+00	-2.78107700e+01
8.90000000e-01	1.82200584e+01	4.80263443e+01	0.00000000e+00	1.96430261e+03	-1.99410889e+03	0.00000000e+00	-3.47080994e+01
9.00000000e-01	1.82203064e+01	4.81717110e+01	0.00000000e+00	2.01064600e+03	-2.04059729e+03	0.00000000e+00	-4.15471306e+01
9.10000000e-01	1.82206078e+01	4.83736458e+01	0.00000000e+00	2.05786646e+03	-2.08801953e+03	0.00000000e+00	-4.83285522e+01
9.20000000e-01	1.82209587e+01	4.86408348e+01	0.00000000e+00	2.10595093e+03	-2.13637085e+03	0.00000000e+00	-5.50530396e+01
9.30000000e-01	1.82213593e+01	4.89817352e+01	0.00000000e+00	2.15488599e+03	-2.18564648e+03	0.00000000e+00	-6.17212601e+01
9.40000000e-01	1.82218094e+01	4.94045868e+01	0.00000000e+00	2.20465894e+03	-2.23584180e+03	0.00000000e+00	-6.83338776e+01
9.50000000e-01	1.82223053e+01	4.99174156e+01	0.00000000e+00	2.25525708e+03	-2.28695215e+03	0.00000000e+00	-7.48915482e+01
9.60000000e-01	1.82228508e+01	5.05280457e+01	0.00000000e+00	2.30666821e+03	-2.33897339e+03	0.00000000e+00	-8.13949127e+01
9.70000000e-01	1.82234383e+01	5.12440872e+01	0.00000000e+00	2.35887964e+03	-2.39190039e+03	0.00000000e+00	-8.78446198e+01
9.80000000e-01	1.82240715e+01	5.20729599e+01	0.00000000e+00	2.41188013e+03	-2.44572900e+03	0.00000000e+00	-9.42413025e+01
9.90000000e-01	1.82247486e+01	5.30218849e+01	0.00000000e+00	2.46565747e+03	-2.50045459e+03	0.00000000e+00	-1.00585587e+02
1.00000000e+00	1.82254677e+01	5.40979042e+01	0.00000000e+00	2.52020044e+03	-2.55607300e+03	0.00000000e+00	-1.06878098e+02
1.01000000e+00	1.82262287e+01	5.53078651e+01	0.00000000e+00	2.57549780e+03	-2.61257935e+03	0.00000000e+00	-1.13119438e+02
1.02000000e+00	7.63496208e+00	5.62261391e+01	2.86200142e+01	2.59133569e+03	-2.66854688e+03	-7.56020459e+03	-7.87043839e+01
1.03000000e+00	8.23574448e+00	5.63579941e+01	6.26105652e+01	2.61009692e+03	-2.72082983e+03	-1.11865010e+04	5.98325348e+00
1.04000000e+00	6.64808464e+00	5.65591965e+01	2.25238266e+01	2.69548926e+03	-2.76792407e+03	-6.70554395e+03	8.38196945e+01
1.05000000e+00	1.56346951e+01	5.74795151e+01	0.00000000e+00	2.77007153e+03	-2.81191650e+03	0.00000000e+00	1.08206802e+02
1.06000000e+00	1.91295795e+01	5.85949707e+01	0.00000000e+00	2.81621240e+03	-2.85567798e+03	0.00000000e+00	1.03038094e+02
1.07000000e+00	1.94592762e+01	5.95750961e+01	0.00000000e+00	2.86023047e+03	-2.90034619e+03	0.00000000e+00	9.49648666e+01
1.08000000e+00	1.94889050e+01	6.03998299e+01	0.00000000e+00	2.90511938e+03	-2.94603027e+03	0.00000000e+00	8.66638412e+01
1.09000000e+00	1.94907722e+01	6.10810165e+01	0.00000000e+00	2.95114575e+03	-2.99273608e+03	0.00000000e+00	7.84032211e+01
1.10000000e+00	1.94901619e+01	6.16331673e+01	0.00000000e+00	2.99831567e+03	-3.04045874e+03	0.00000000e+00	7.02092056e+01
1.11000000e+00	1.94894028e+01	6.20707130e+01	0.00000000e+00	3.04661157e+03	-3.08919287e+03	0.00000000e+00	6.20837364e+01
1.12000000e+00	1.94887066e+01	6.24077568e+01	0.00000000e+00	3.09601392e+03	-3.13893286e+03	0.00000000e+00	5.40262947e+01
1.13000000e+00	1.94880886e+01	6.26580772e+01	0.00000000e+00	3.14650317e+03	-3.18967310e+03	0.00000000e+00	4.60361366e+01
1.14000000e+00	1.94875488e+01	6.28351059e+01	0.00000000e+00	3.19806055e+03	-3.24140796e+03	0.00000000e+00	3.81124916e+01
1.15000000e+00	1.94870872e+01	6.29519653e+01	0.00000000e+00	3.25066724e+03	-3.29413208e+03	0.00000000e+00	3.02546101e+01
1.16000000e+00	1.94867001e+01	6.30214424e+01	0.00000000e+00	3.30430493e+03	-3.34783960e+03	0.00000000e+00	2.24617367e+01
1.17000000e+00	1.94863892e+01	6.30560303e+01	0.00000000e+00	3.35895581e+03	-3.40252539e+03	0.00000000e+00	1.47331324e+01
1.18000000e+00	1.94861488e+01	6.30679131e+01	0.00000000e+00	3.41460229e+03	-3.45818384e+03	0.00000000e+00	7.06806278e+00
1.19000000e+00	1.94859810e+01	6.30689812e+01	0.00000000e+00	3.47122681e+03	-3.51480981e+03	0.00000000e+00	-5.34198225e-01
1.20000000e+00	1.94858818e+01	6.30708351e+01	0.00000000e+00	3.52881299e+03	-3.57239795e+03	0.00000000e+00	-8.07436752e+00
1.21000000e+00	1.94858494e+01	6.30847893e+01	0.00000000e+00	3.58734375e+03	-3.63094263e+03	0.00000000e+00	-1.55531559e+01
1.22000000e+00	1.94858837e+01	6.31218910e+01	0.00000000e+00	3.64680298e+03	-3.69043896e+03	0.00000000e+00	-2.29712639e+01
1.23000000e+00	1.94859829e+01	6.31929092e+01	0.00000000e+00	3.70717456e+03	-3.75088135e+03	0.00000000e+00	-3.03293877e+01
1.24000000e+00	1.94861469e+01	6.33083611e+01	0.00000000e+00	3.76844287e+03	-3.81226489e+03	0.00000000e+00	-3.76282120e+01
1.25000000e+00	1.94863720e+01	6.34785004e+01	0.00000000e+00	3.83059229e+03	-3.87458447e+03	0.00000000e+00	-4.48684196e+01
1.26000000e+00	1.94866581e+01	6.37133255e+01	0.00000000e+00	3.89360815e+03	-3.93783472e+03	0.00000000e+00	-5.20506783e+01
1.27000000e+00	1.94870033e+01	6.40225983e+01	0.00000000e+00	3.95747510e+03	-4.00201074e+03	0.00000000e+00	-5.91756516e+01
1.28000000e+00	1.94874077e+01	6.44158401e+01	0.00000000e+00	4.02217896e+03	-4.06710742e+03	0.00000000e+00	-6.62440033e+01
1.29000000e+00	1.94878693e+01	6.49023438e+01	0.00000000e+00	4.08770532e+03	-4.13311963e+03	0.00000000e+00	-7.32563705e+01
1.30000000e+00	1.94883862e+01	6.54911575e+01	0.00000000e+00	4.15404004e+03	-4.20004248e+03	0.00000000e+00	-8.02134094e+01
1.31000000e+00	1.94889584e+01	6.61911240e+01	0.00000000e+00	4.22116895e+03	-4.26787109e+03	0.00000000e+00	-8.71157455e+01
1.32000000e+00	1.94895840e+01	6.70108566e+01	0.00000000e+00	4.28907910e+03	-4.33660059e+03	0.00000000e+00	-9.39640121e+01
1.33000000e+00	1.94902630e+01	6.79587631e+01	0.00000000e+00	4.35775732e+03	-4.40622559e+03	0.00000000e+00	-1.00758835e+02
1.34000000e+00	8.81444454e+00	6.88917999e+01	3.94595504e+00	4.41218164e+03	-4.47620508e+03	-2.79438306e+03	-9.24921875e+01
1.35000000e+00	7.75278044e+00	6.93157272e+01	4.32654495e+01	4.43952734e+03	-4.54435596e+03	-9.29771875e+03	-3.78797531e+01
1.36000000e+00	7.64409113e+00	6.93163300e+01	4.10001793e+01	4.50544922e+03	-4.60812158e+03	-9.05080273e+03	4.27999992e+01
1.37000000e+00	5.99671412e+00	6.97503510e+01	3.09243202e+00	4.60094873e+03	-4.66779443e+03	-2.47012769e+03	8.91075668e+01
1.38000000e+00	1.62149982e+01	7.05946884e+01	0.00000000e+00	4.67164258e+03	-4.72602246e+03	0.00000000e+00	9.47376633e+01
1.39000000e+00	1.75496197e+01	7.14241104e+01	0.00000000e+00	4.73083545e+03	-4.78470996e+03	0.00000000e+00	8.74127197e+01
1.40000000e+00	1.76722527e+01	7.21152039e+01	0.00000000e+00	4.78992236e+03	-4.84436523e+03	0.00000000e+00	7.88506851e+01
1.41000000e+00	1.76825142e+01	7.26708298e+01	0.00000000e+00	4.85004492e+03	-4.90503320e+03	0.00000000e+00	7.02280579e+01
1.42000000e+00	1.76826019e+01	7.31057129e+01	0.00000000e+00	4.91129004e+03	-4.96671338e+03	0.00000000e+00	6.16623192e+01
1.43000000e+00	1.76818542e+01	7.34353561e+01	0.00000000e+00	4.97364600e+03	-5.02939941e+03	0.00000000e+00	5.31645813e+01
1.44000000e+00	1.76811142e+01	7.36749725e+01	0.00000000e+00	5.03709277e+03	-5.09308643e+03	0.00000000e+00	4.47352638e+01
1.45000000e+00	1.76804581e+01	7.38394470e+01	0.00000000e+00	5.10160840e+03	-5.15776758e+03	0.00000000e+00	3.63737221e+01
1.46000000e+00	1.76798897e+01	7.39433060e+01	0.00000000e+00	5.16717383e+03	-5.22343750e+03	0.00000000e+00	2.80792103e+01
1.47000000e+00	1.76794090e+01	7.40007401e+01	0.00000000e+00	5.23376807e+03	-5.29008936e+03	0.00000000e+00	1.98509903e+01
1.48000000e+00	1.76790123e+01	7.40256119e+01	0.00000000e+00	5.30137158e+03	-5.35771826e+03	0.00000000e+00	1.16883221e+01
1.49000000e+00	1.76786976e+01	7.40314484e+01	0.00000000e+00	5.36996533e+03	-5.42631787e+03	0.00000000e+00	3.59047675e+00
1.50000000e+00	1.76784649e+01	7.40314636e+01	0.00000000e+00	5.43952979e+03	-5.49588281e+03	0.00000000e+00	-4.44326782e+00
1.51000000e+00	1.76783123e+01	7.40385666e+01	0.00000000e+00	5.51004639e+03	-5.56640674e+03	0.00000000e+00	-1.24136238e+01
1.52000000e+00	1.76782379e+01	7.40653534e+01	0.00000000e+00	5.58149658e+03	-5.63788379e+03	0.00000000e+00	-2.03212967e+01
1.53000000e+00	1.76782398e+01	7.41241302e+01	0.00000000e+00	5.65386328e+03	-5.71030908e+03	0.00000000e+00	-2.81669827e+01
1.54000000e+00	1.76783161e+01	7.42269058e+01	0.00000000e+00	5.72712793e+03	-5.78367676e+03	0.00000000e+00	-3.59513741e+01
1.55000000e+00	1.76784668e+01	7.43854065e+01	0.00000000e+00	5.80127344e+03	-5.85798047e+03	0.00000000e+00	-4.36751480e+01
1.56000000e+00	1.76786880e+01	7.46110916e+01	0.00000000e+00	5.87628320e+03	-5.93321533e+03	0.00000000e+00	-5.13389816e+01
1.57000000e+00	1.76789818e+01	7.49151382e+01	0.00000000e+00	5.95213965e+03	-6.00937598e+03	0.00000000e+00	-5.89435387e+01
1.58000000e+00	1.76793442e+01	7.53084641e+01	0.00000000e+00	6.02882666e+03	-6.08645605e+03	0.00000000e+00	-6.64894791e+01
1.59000000e+00	1.76797752e+01	7.58017273e+01	0.00000000e+00	6.10632861e+03	-6.16445068e+03	0.00000000e+00	-7.39774551e+01
1.60000000e+00	1.76802731e+01	7.64053268e+01	0.00000000e+00	6.18462891e+03	-6.24335400e+03	0.00000000e+00	-8.14081116e+01
1.61000000e+00	1.76808357e+01	7.71294327e+01	0.00000000e+00	6.26371240e+03	-6.32316113e+03	0.00000000e+00	-8.87820816e+01
1.62000000e+00	1.62042542e+01	7.79683762e+01	8.29185396e-02	6.34195752e+03	-6.40380469e+03	-3.13934174e+02	-9.44138565e+01
1.63000000e+00	1.36701517e+01	7.85477600e+01	3.12112923e+01	6.38759473e+03	-6.48368359e+03	-7.89552100e+03	-5.79928246e+01
1.64000000e+00	1.40512114e+01	7.85843506e+01	4.81152153e+01	6.44714551e+03	-6.55979395e+03	-9.80546289e+03	1.96744804e+01
1.65000000e+00	1.26355181e+01	7.88355865e+01	1.15542316e+01	6.55348877e+03	-6.63124316e+03	-4.79845068e+03	8.06791534e+01
1.66000000e+00	2.26675301e+01	7.96128464e+01	0.00000000e+00	6.64334424e+03	-6.70028955e+03	0.00000000e+00	9.57632294e+01
1.67000000e+00	2.49614601e+01	8.04656982e+01	0.00000000e+00	6.71388184e+03	-6.76938574e+03	0.00000000e+00	8.89468536e+01
1.68000000e+00	2.51740303e+01	8.11792526e+01	0.00000000e+00	6.78340527e+03	-6.83941064e+03	0.00000000e+00	7.99967728e+01
1.69000000e+00	2.51923389e+01	8.17484970e+01	0.00000000e+00	6.85389014e+03	-6.91044629e+03	0.00000000e+00	7.08980713e+01
1.70000000e+00	2.51929893e+01	8.21890564e+01	0.00000000e+00	6.92549902e+03	-6.98249512e+03	0.00000000e+00	6.18494759e+01
1.71000000e+00	2.51921406e+01	8.25180817e+01	0.00000000e+00	6.99822510e+03	-7.05555078e+03	0.00000000e+00	5.28702431e+01
1.72000000e+00	2.05940151e+01	8.22439957e+01	0.00000000e+00	7.06788184e+03	-7.12953223e+03	0.00000000e+00	-2.80807312e+02
1.73000000e+00	2.08875656e+01	9.08409424e+01	0.00000000e+00	7.13434082e+03	-7.20429443e+03	0.00000000e+00	-3.05602783e+02
1.74000000e+00	-9.97895813e+01	9.87677155e+01	9.03999405e+01	6.98753809e+03	-7.27649512e+03	-1.34430850e+04	-2.57785034e+02
1.75000000e+00	-1.10590019e+02	1.01411530e+02	4.40589172e+02	6.68389795e+03	-7.33648877e+03	-2.96832441e+04	-6.78046265e+01
1.76000000e+00	-1.14662239e+02	1.01653450e+02	3.06757629e+02	6.85278760e+03	-7.37586084e+03	-2.47675586e+04	1.66234451e+02
1.77000000e+00	-1.17672256e+02	1.06362427e+02	4.81755352e+00	7.16964551e+03	-7.39849756e+03	-3.09059448e+03	2.68233734e+02
1.78000000e+00	-5.30912743e+01	1.13378387e+02	0.00000000e+00	7.24870361e+03	-7.41517334e+03	0.00000000e+00	2.61604797e+02
