#FEDEM	R8.1.5 (build 4) 28 Mar 2026 11:44:27
#PARENT	C:\Users\knutm\Fedem-src\fedem-solvers\solverTests\TimeDomain\AngleSensor\Beams.fmm
#FILE 	..\..\exported_curves.asc
#USER 	knutm
#DATE 	Sat Apr  4 07:24:05 2026
#
#DESCRIPTION	Function__1___Value_vs_Time
9.30000000e-01	-6.46683156e-01
9.40000000e-01	-6.53894782e-01
9.50000000e-01	-6.60859406e-01
9.60000000e-01	-6.67569339e-01
9.70000000e-01	-6.74017191e-01
9.80000000e-01	-6.80195868e-01
9.90000000e-01	-6.86098754e-01
1.00000000e+00	-6.91719294e-01
1.01000000e+00	-6.97051525e-01
1.02000000e+00	-7.02089667e-01
1.03000000e+00	-7.06828475e-01
1.04000000e+00	-7.11262822e-01
1.05000000e+00	-7.15388119e-01
1.06000000e+00	-7.19200075e-01
1.07000000e+00	-7.22694814e-01
1.08000000e+00	-7.25868702e-01
1.09000000e+00	-7.28718638e-01
1.10000000e+00	-7.31241763e-01
1.11000000e+00	-7.33435631e-01
1.12000000e+00	-7.35298097e-01
1.13000000e+00	-7.36827314e-01
1.14000000e+00	-7.38021970e-01
1.15000000e+00	-7.38880873e-01
1.16000000e+00	-7.39403248e-01
1.17000000e+00	-7.39588618e-01
1.18000000e+00	-7.39436865e-01
1.19000000e+00	-7.38947988e-01
1.20000000e+00	-7.38122523e-01
1.21000000e+00	-7.36961067e-01
1.22000000e+00	-7.35464573e-01
1.23000000e+00	-7.33634174e-01
1.24000000e+00	-7.31471300e-01
1.25000000e+00	-7.28977561e-01
1.26000000e+00	-7.26154745e-01
1.27000000e+00	-7.23004937e-01
1.28000000e+00	-7.19530284e-01
1.29000000e+00	-7.15733111e-01
1.30000000e+00	-7.11615980e-01
1.31000000e+00	-7.07181513e-01
1.32000000e+00	-7.02432454e-01
1.33000000e+00	-6.97371721e-01
1.34000000e+00	-6.92002296e-01
1.35000000e+00	-6.86327159e-01
1.36000000e+00	-6.80349529e-01
1.37000000e+00	-6.74072623e-01
1.38000000e+00	-6.67499602e-01
1.39000000e+00	-6.60633743e-01
1.40000000e+00	-6.53478444e-01
1.41000000e+00	-6.46036983e-01
1.42000000e+00	-6.38312697e-01
1.43000000e+00	-6.30308926e-01
1.44000000e+00	-6.22028947e-01
1.45000000e+00	-6.13476098e-01
1.46000000e+00	-6.04653656e-01
1.47000000e+00	-5.95564842e-01
1.48000000e+00	-5.86212814e-01
1.49000000e+00	-5.76600790e-01
1.50000000e+00	-5.66731751e-01
1.51000000e+00	-5.56608796e-01
1.52000000e+00	-5.46234846e-01
1.53000000e+00	-5.35612762e-01
1.54000000e+00	-5.24745405e-01
1.55000000e+00	-5.13635457e-01
1.56000000e+00	-5.02285600e-01
1.57000000e+00	-4.90698367e-01
1.58000000e+00	-4.78876203e-01
1.59000000e+00	-4.66821492e-01
1.60000000e+00	-4.54536527e-01
1.61000000e+00	-4.42023516e-01
1.62000000e+00	-4.29284543e-01
1.63000000e+00	-4.16321605e-01
1.64000000e+00	-4.03136641e-01
1.65000000e+00	-3.89731437e-01
1.66000000e+00	-3.76107752e-01
1.67000000e+00	-3.62267196e-01
1.68000000e+00	-3.48211318e-01
1.69000000e+00	-3.33941638e-01
1.70000000e+00	-3.19459468e-01
1.71000000e+00	-3.04766119e-01
1.72000000e+00	-2.89862841e-01
1.73000000e+00	-2.74750799e-01
1.74000000e+00	-2.59431034e-01
1.75000000e+00	-2.43904576e-01
1.76000000e+00	-2.28172392e-01
1.77000000e+00	-2.12235361e-01
1.78000000e+00	-1.96094364e-01
1.79000000e+00	-1.79750204e-01
1.80000000e+00	-1.63203642e-01
1.81000000e+00	-1.46455407e-01
1.82000000e+00	-1.29506230e-01
1.83000000e+00	-1.12356812e-01
1.84000000e+00	-9.50078294e-02
1.85000000e+00	-7.74599612e-02
1.86000000e+00	-5.97139038e-02
1.87000000e+00	-4.17703502e-02
1.88000000e+00	-2.36300249e-02
1.89000000e+00	-5.29368082e-03
1.90000000e+00	1.32378927e-02
1.91000000e+00	3.19638588e-02
1.92000000e+00	5.08833155e-02
1.93000000e+00	6.99953064e-02
1.94000000e+00	8.92987922e-02
1.95000000e+00	1.08792640e-01
1.96000000e+00	1.28475636e-01
1.97000000e+00	1.48346424e-01
1.98000000e+00	1.68403596e-01
1.99000000e+00	1.88645527e-01
2.00000000e+00	2.09070519e-01
