#######################
#Submodel interface points and related nodes for subelement: 02_02_Submodel_Course
#######################
#Interface Point: 1 (Nodes in group: 294)
#######################
#IntPt, NodeID,   X,   Y,   Z
#######################
1,   31216,     .03,     .05,     .55
1,   31217,     .05,    -.03,     .25
1,   31218,     .05,    -.03,     .55
1,   31219,     .05,     .03,     .25
1,   31220,     .05,     .03,     .55
1,   31221,     .15,    -.05,     .37
1,   31222,     .15,    -.05,     .43
1,   31223,     .15,    -.03,     .35
1,   31224,     .15,    -.03,     .45
1,   31225,     .15,     .03,     .35
1,   31226,     .15,     .03,     .45
1,   31227,     .15,     .05,     .37
1,   31228,     .15,     .05,     .43
1,   31295,     .15,    -.05,      .4
1,   31296,     .15,     .05,      .4
#FINISHED_INTERFACE_PT
